Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,1.617800,1.624300,1.617500,1.617980,1.617980,0
2019-06-11,1.625000,1.628530,1.624250,1.625790,1.625790,0
2019-06-12,1.627500,1.632520,1.627400,1.627520,1.627520,0
2019-06-13,1.629490,1.635860,1.627900,1.629460,1.629460,0
2019-06-14,1.631400,1.636250,1.630870,1.631600,1.631600,0
2019-06-17,1.630700,1.638580,1.629600,1.630100,1.630100,0
2019-06-18,1.638090,1.644680,1.627470,1.637980,1.637980,0
2019-06-19,1.626890,1.634340,1.626000,1.627550,1.627550,0
2019-06-20,1.631880,1.635580,1.629400,1.631200,1.631200,0
2019-06-21,1.631840,1.639530,1.628300,1.631680,1.631680,0
2019-06-24,1.638640,1.639900,1.634980,1.639340,1.639340,0
2019-06-25,1.636050,1.639820,1.631600,1.636630,1.636630,0
2019-06-26,1.632990,1.632990,1.623800,1.633200,1.633200,0
2019-06-27,1.628050,1.628080,1.622300,1.627960,1.627960,0
2019-06-28,1.623050,1.625420,1.620200,1.623590,1.623590,0
2019-07-01,1.617620,1.625810,1.617100,1.617520,1.617520,0
2019-07-02,1.620380,1.620720,1.613500,1.620530,1.620530,0
2019-07-03,1.614220,1.616440,1.602600,1.613800,1.613800,0
2019-07-04,1.605430,1.608000,1.602400,1.605190,1.605190,0
2019-07-05,1.606270,1.610850,1.603300,1.606300,1.606300,0
2019-07-08,1.608170,1.608920,1.604900,1.607500,1.607500,0
2019-07-09,1.608540,1.618790,1.607800,1.608350,1.608350,0
2019-07-10,1.617400,1.623030,1.615960,1.617400,1.617400,0
2019-07-11,1.617880,1.618910,1.612000,1.617620,1.617620,0
2019-07-12,1.613590,1.613720,1.605800,1.613460,1.613460,0
2019-07-15,1.606010,1.607130,1.599500,1.606070,1.606070,0
2019-07-16,1.599650,1.600820,1.594000,1.599570,1.599570,0
2019-07-17,1.597840,1.603240,1.596700,1.597500,1.597500,0
2019-07-18,1.601970,1.602960,1.592100,1.601400,1.601400,0
2019-07-19,1.593050,1.594780,1.589600,1.593390,1.593390,0
2019-07-22,1.592750,1.595200,1.589200,1.592690,1.592690,0
2019-07-23,1.593630,1.594620,1.588900,1.594150,1.594150,0
2019-07-24,1.593600,1.597270,1.593100,1.593400,1.593400,0
2019-07-25,1.596620,1.608640,1.592500,1.596430,1.596430,0
2019-07-26,1.603360,1.610690,1.602600,1.603270,1.603270,0
2019-07-29,1.611360,1.614310,1.609200,1.611480,1.611480,0
2019-07-30,1.614800,1.622500,1.612500,1.614400,1.614400,0
2019-07-31,1.623090,1.624380,1.614900,1.622800,1.622800,0
2019-08-01,1.617470,1.618430,1.610200,1.616600,1.616600,0
2019-08-02,1.628540,1.638050,1.625100,1.628430,1.628430,0
2019-08-05,1.635700,1.652820,1.634900,1.635400,1.635400,0
2019-08-06,1.662210,1.662400,1.645400,1.662000,1.662000,0
2019-08-07,1.657040,1.678200,1.653050,1.656570,1.656570,0
2019-08-08,1.657900,1.659810,1.643900,1.657860,1.657860,0
