Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,9.576900,9.576900,9.552800,9.577100,9.577100,0
2019-04-23,9.561800,9.621010,9.561200,9.561700,9.561700,0
2019-04-24,9.597850,9.633550,9.593080,9.597980,9.597980,0
2019-04-25,9.637800,9.693810,9.629420,9.639000,9.639000,0
2019-04-26,9.649870,9.679560,9.646940,9.650100,9.650100,0
2019-04-29,9.684300,9.696810,9.674380,9.684100,9.684100,0
2019-04-30,9.677590,9.695660,9.660880,9.676900,9.676900,0
2019-05-01,9.680100,9.724800,9.667610,9.679500,9.679500,0
2019-05-02,9.707780,9.799850,9.704700,9.707690,9.707690,0
2019-05-03,9.781700,9.811010,9.735300,9.782520,9.782520,0
2019-05-06,9.781470,9.803230,9.765670,9.781120,9.781120,0
2019-05-07,9.771000,9.788360,9.742900,9.771800,9.771800,0
2019-05-08,9.788980,9.835390,9.769240,9.788500,9.788500,0
2019-05-09,9.810100,9.864560,9.774930,9.810420,9.810420,0
2019-05-10,9.852900,9.873130,9.803020,9.852800,9.852800,0
2019-05-13,9.801420,9.840160,9.799580,9.801530,9.801530,0
2019-05-14,9.844610,9.844610,9.783870,9.836530,9.836530,0
2019-05-15,9.802800,9.819160,9.766730,9.800000,9.800000,0
2019-05-16,9.767900,9.775100,9.733000,9.766050,9.766050,0
2019-05-17,9.782900,9.809660,9.778500,9.781530,9.781530,0
2019-05-20,9.803890,9.812760,9.780960,9.803000,9.803000,0
2019-05-21,9.810400,9.816800,9.779250,9.810700,9.810700,0
2019-05-22,9.775400,9.783920,9.751100,9.775200,9.775200,0
2019-05-23,9.768740,9.783580,9.738800,9.769700,9.769700,0
2019-05-24,9.785800,9.796990,9.740300,9.784200,9.784200,0
2019-05-27,9.734780,9.756720,9.728500,9.732900,9.732900,0
2019-05-28,9.740210,9.742480,9.709480,9.740000,9.740000,0
2019-05-29,9.732000,9.776110,9.727810,9.731840,9.731840,0
2019-05-30,9.740100,9.762660,9.729690,9.731470,9.731470,0
2019-05-31,9.767830,9.803320,9.751420,9.768370,9.768370,0
2019-06-03,9.785770,9.792420,9.748810,9.785850,9.785850,0
2019-06-04,9.782950,9.798480,9.767420,9.781300,9.781300,0
2019-06-05,9.784010,9.816670,9.770500,9.784460,9.784460,0
2019-06-06,9.805900,9.829010,9.782390,9.806000,9.806000,0
2019-06-07,9.804700,9.807300,9.763090,9.803120,9.803120,0
2019-06-10,9.755980,9.789000,9.754280,9.755600,9.755600,0
2019-06-11,9.786610,9.830240,9.755630,9.786910,9.786910,0
2019-06-12,9.776550,9.794740,9.765220,9.773600,9.773600,0
2019-06-13,9.776140,9.789100,9.764370,9.777980,9.777980,0
2019-06-14,9.786830,9.795220,9.768700,9.785800,9.785800,0
2019-06-17,9.764290,9.808350,9.760610,9.764450,9.764450,0
2019-06-18,9.794200,9.815060,9.773730,9.794840,9.794840,0
2019-06-19,9.783020,9.794930,9.778500,9.783300,9.783300,0
2019-06-20,9.765270,9.767000,9.655800,9.764460,9.764460,0
2019-06-21,9.657670,9.692540,9.650500,9.656830,9.656830,0
2019-06-24,9.665450,9.684130,9.647610,9.667120,9.667120,0
2019-06-25,9.666670,9.702140,9.665200,9.667180,9.667180,0
2019-06-26,9.708970,9.709300,9.651980,9.709520,9.709520,0
2019-06-27,9.656850,9.692510,9.652300,9.656850,9.656850,0
2019-06-28,9.675780,9.719080,9.672420,9.675800,9.675800,0
2019-07-01,9.680820,9.696860,9.660380,9.679600,9.679600,0
2019-07-02,9.687130,9.689300,9.664780,9.687700,9.687700,0
2019-07-03,9.673230,9.688300,9.627670,9.673290,9.673290,0
2019-07-04,9.623710,9.643960,9.620400,9.622800,9.622800,0
2019-07-05,9.624460,9.681770,9.622220,9.623270,9.623270,0
2019-07-08,9.669770,9.690420,9.658480,9.668800,9.668800,0
2019-07-09,9.688900,9.716250,9.680380,9.689900,9.689900,0
2019-07-10,9.692060,9.712490,9.656900,9.691000,9.691000,0
2019-07-11,9.655500,9.656490,9.613630,9.654900,9.654900,0
2019-07-12,9.610720,9.625190,9.603300,9.609900,9.609900,0
2019-07-15,9.619170,9.628100,9.613000,9.619080,9.619080,0
2019-07-16,9.614140,9.621910,9.583680,9.612200,9.612200,0
2019-07-17,9.612140,9.632490,9.608630,9.612180,9.612180,0
2019-07-18,9.639080,9.662100,9.636600,9.638300,9.638300,0
2019-07-19,9.623460,9.627440,9.607560,9.624790,9.624790,0
2019-07-22,9.615890,9.651780,9.611680,9.615700,9.615700,0
2019-07-23,9.655720,9.699070,9.653100,9.656450,9.656450,0
2019-07-24,9.681700,9.684980,9.614530,9.681400,9.681400,0
2019-07-25,9.626020,9.685890,9.595000,9.625980,9.625980,0
2019-07-26,9.668780,9.708400,9.668100,9.668320,9.668320,0
2019-07-29,9.697550,9.707840,9.677780,9.697100,9.697100,0
2019-07-30,9.693120,9.768370,9.683750,9.692100,9.692100,0
2019-07-31,9.768240,9.785510,9.757830,9.766670,9.766670,0
2019-08-01,9.807480,9.823690,9.785700,9.807350,9.807350,0
2019-08-02,9.852600,9.923950,9.841390,9.854140,9.854140,0
2019-08-05,9.900290,9.995580,9.890670,9.900140,9.900140,0
2019-08-06,10.018790,10.021000,9.941650,10.017900,10.017900,0
2019-08-07,9.972730,10.094340,9.958900,9.971490,9.971490,0
2019-08-08,10.027400,10.036700,9.996760,10.026230,10.026230,0
2019-08-09,9.982600,9.993700,9.910080,9.980730,9.980730,0
2019-08-12,9.945400,10.017890,9.942100,9.941280,9.941280,0
2019-08-13,9.990840,10.016000,9.923350,9.991100,9.991100,0
2019-08-14,9.908690,10.008480,9.906580,9.909020,9.909020,0
2019-08-15,10.003210,10.040140,9.957200,10.002690,10.002690,0
2019-08-16,10.020000,10.030480,9.956300,10.018830,10.018830,0
2019-08-19,9.985700,9.998840,9.941300,9.985400,9.985400,0
2019-08-20,9.954060,9.992200,9.940500,9.953600,9.953600,0
2019-08-21,9.973300,9.980950,9.920000,9.972860,9.972860,0
2019-08-22,9.914500,9.964520,9.906720,9.906830,9.906830,0
2019-08-23,9.947020,9.991770,9.922760,9.950400,9.950400,0
2019-08-26,10.022100,10.025590,9.962270,10.022310,10.022310,0
2019-08-27,9.994440,10.022780,9.979100,9.993370,9.993370,0
2019-08-28,9.989970,10.025360,9.987700,9.989800,9.989800,0
2019-08-29,10.018810,10.062500,10.018300,10.019450,10.019450,0
2019-08-30,10.056570,10.066430,10.010030,10.054540,10.054540,0
2019-09-02,10.016000,10.027400,9.975700,10.015200,10.015200,0
2019-09-03,9.989500,10.021000,9.976830,9.987510,9.987510,0
2019-09-04,9.990100,9.991260,9.958600,9.988830,9.988830,0
2019-09-05,9.962420,9.964300,9.924070,9.962100,9.962100,0
