Date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,7.467700,7.467800,7.466290,7.467290,7.467290,0
2019-08-01,7.467300,7.467500,7.465110,7.467300,7.467300,0
2019-08-02,7.465870,7.466600,7.464650,7.465880,7.465880,0
2019-08-05,7.465800,7.466900,7.463040,7.465770,7.465770,0
2019-08-06,7.463210,7.464700,7.462260,7.463600,7.463600,0
2019-08-07,7.463970,7.464500,7.461030,7.464200,7.464200,0
2019-08-08,7.461390,7.463100,7.460950,7.461350,7.461350,0
2019-08-09,7.461570,7.463500,7.461070,7.461350,7.461350,0
2019-08-12,7.462870,7.464800,7.462440,7.463300,7.463300,0
2019-08-13,7.463200,7.463700,7.461600,7.462840,7.462840,0
2019-08-14,7.462750,7.463200,7.458470,7.463010,7.463010,0
2019-08-15,7.459150,7.459900,7.458010,7.459120,7.459120,0
2019-08-16,7.459000,7.459900,7.456830,7.458930,7.458930,0
2019-08-19,7.456700,7.458400,7.455300,7.456400,7.456400,0
2019-08-20,7.456600,7.457300,7.454820,7.456640,7.456640,0
2019-08-21,7.455000,7.456400,7.454810,7.455140,7.455140,0
2019-08-22,7.455400,7.456200,7.454280,7.455500,7.455500,0
2019-08-23,7.454710,7.457400,7.454540,7.454780,7.454780,0
2019-08-26,7.455910,7.456800,7.455290,7.455800,7.455800,0
2019-08-27,7.456290,7.457500,7.455520,7.457000,7.457000,0
2019-08-28,7.456670,7.457800,7.455470,7.456900,7.456900,0
2019-08-29,7.455530,7.457200,7.454710,7.455160,7.455160,0
2019-08-30,7.455430,7.456000,7.454830,7.455800,7.455800,0
2019-09-02,7.455550,7.456570,7.454770,7.455610,7.455610,0
2019-09-03,7.456100,7.457600,7.454900,7.456200,7.456200,0
2019-09-04,7.456900,7.458900,7.455020,7.457100,7.457100,0
2019-09-05,7.458500,7.460200,7.456630,7.458900,7.458900,0
2019-09-06,7.459800,7.461860,7.458970,7.459700,7.459700,0
2019-09-09,7.460950,7.461400,7.458650,7.460910,7.460910,0
2019-09-10,7.458490,7.461300,7.458460,7.458900,7.458900,0
2019-09-11,7.459530,7.461010,7.459240,7.459740,7.459740,0
2019-09-12,7.459780,7.463070,7.459480,7.459670,7.459670,0
2019-09-13,7.463100,7.468180,7.462050,7.463100,7.463100,0
2019-09-16,7.467500,7.468070,7.466170,7.467400,7.467400,0
2019-09-17,7.466730,7.467500,7.465720,7.467200,7.467200,0
2019-09-18,7.466930,7.467800,7.466280,7.467000,7.467000,0
2019-09-19,7.468000,7.468300,7.466190,7.468100,7.468100,0
2019-09-20,7.467200,7.467400,7.464770,7.466470,7.466470,0
2019-09-23,7.466970,7.468000,7.465330,7.466870,7.466870,0
2019-09-24,7.466600,7.467200,7.463710,7.466700,7.466700,0
2019-09-25,7.464800,7.466010,7.462970,7.464700,7.464700,0
2019-09-26,7.465200,7.466800,7.462860,7.465250,7.465250,0
2019-09-27,7.466570,7.467200,7.465010,7.466630,7.466630,0
2019-09-30,7.465400,7.466700,7.464660,7.466100,7.466100,0
2019-10-01,7.465900,7.466100,7.464230,7.465570,7.465570,0
2019-10-02,7.465170,7.466400,7.464340,7.465270,7.465270,0
2019-10-03,7.465400,7.466100,7.464250,7.465500,7.465500,0
2019-10-04,7.465530,7.467870,7.464850,7.465610,7.465610,0
2019-10-07,7.467100,7.468800,7.466300,7.466360,7.466360,0
2019-10-08,7.468900,7.469300,7.467840,7.468790,7.468790,0
